Description	ID	Solanum_lycopersicum	Solanum_appendiculatum	Petunia_inflata	Solanum_tuberosum	Jaltomata_sinuosa	Petunia_axillaris	Nicotiana_attenuata
OG0000121	OG0000121	13	5	11	15	2	10	9
OG0000122	OG0000122	2	4	1	10	6	2	39
OG0000123	OG0000123	9	3	0	30	11	0	10
OG0000124	OG0000124	9	9	9	10	8	9	9
OG0000125	OG0000125	5	7	9	8	4	22	7
OG0000126	OG0000126	6	31	6	11	1	5	2
OG0000127	OG0000127	1	14	9	2	1	27	8
OG0000128	OG0000128	4	24	10	15	1	8	0
OG0000129	OG0000129	4	15	15	11	7	8	1
OG0000130	OG0000130	3	18	6	13	14	5	2
OG0000131	OG0000131	12	19	2	11	13	3	1
OG0000132	OG0000132	13	7	5	24	5	3	4
OG0000133	OG0000133	3	26	6	2	7	3	14
OG0000134	OG0000134	15	14	5	14	3	4	6
OG0000135	OG0000135	10	9	5	13	3	10	11
OG0000136	OG0000136	1	36	5	11	2	1	4
OG0000137	OG0000137	0	28	0	23	1	0	8
OG0000138	OG0000138	4	24	2	25	0	3	2
OG0000139	OG0000139	11	10	6	14	7	5	6
OG0000140	OG0000140	4	6	15	4	3	9	18
OG0000141	OG0000141	0	0	31	3	0	25	0
OG0000142	OG0000142	6	15	12	8	10	2	5
OG0000143	OG0000143	9	9	8	12	4	9	7
OG0000144	OG0000144	11	6	9	13	5	7	7
OG0000145	OG0000145	0	8	0	11	1	0	38
OG0000146	OG0000146	1	5	0	28	7	0	16
OG0000147	OG0000147	4	12	0	24	0	0	17
OG0000148	OG0000148	1	4	0	52	0	0	0
OG0000149	OG0000149	1	1	2	0	17	5	30
OG0000150	OG0000150	0	0	7	1	5	10	33
OG0000151	OG0000151	12	12	8	15	3	2	4
OG0000152	OG0000152	4	12	10	15	3	7	5
OG0000153	OG0000153	1	2	0	7	4	0	42
OG0000154	OG0000154	0	46	0	6	3	0	1
OG0000155	OG0000155	11	10	5	11	11	3	5
OG0000156	OG0000156	0	0	33	0	4	18	1
OG0000157	OG0000157	6	12	9	15	0	8	6
OG0000158	OG0000158	12	6	9	7	7	10	4
OG0000159	OG0000159	2	0	7	0	28	2	16
OG0000160	OG0000160	15	11	0	16	9	0	4
OG0000161	OG0000161	12	1	0	39	3	0	0
OG0000162	OG0000162	11	14	7	2	2	11	7
OG0000163	OG0000163	11	25	0	10	5	0	3
OG0000164	OG0000164	10	15	9	8	2	6	4
OG0000165	OG0000165	7	6	8	6	8	12	7
OG0000166	OG0000166	12	5	10	6	1	12	8
OG0000167	OG0000167	10	26	3	10	3	1	1
OG0000168	OG0000168	3	2	15	5	0	29	0
OG0000169	OG0000169	0	3	17	6	4	13	10
OG0000170	OG0000170	4	6	8	3	12	7	12
OG0000171	OG0000171	5	17	0	11	16	0	3
OG0000172	OG0000172	6	26	2	13	3	1	1
OG0000173	OG0000173	18	18	2	8	0	3	3
OG0000174	OG0000174	28	6	10	4	0	3	1
OG0000175	OG0000175	1	40	0	11	0	0	0
OG0000176	OG0000176	1	4	2	9	31	4	0
OG0000177	OG0000177	1	6	1	7	8	3	25
OG0000178	OG0000178	0	19	0	3	14	0	15
OG0000179	OG0000179	7	3	3	12	4	3	19
OG0000180	OG0000180	33	0	4	4	10	0	0
OG0000181	OG0000181	8	20	1	10	6	2	4
OG0000182	OG0000182	3	2	0	1	17	10	18
OG0000183	OG0000183	2	12	10	7	16	0	4
OG0000184	OG0000184	16	6	5	12	3	4	5
OG0000185	OG0000185	0	13	0	37	1	0	0
OG0000186	OG0000186	10	4	8	8	3	9	9
OG0000187	OG0000187	0	0	0	0	0	1	50
OG0000188	OG0000188	8	6	7	16	0	8	6
OG0000189	OG0000189	0	11	6	1	14	4	14
OG0000190	OG0000190	9	8	5	10	5	5	8
OG0000191	OG0000191	1	11	8	19	4	5	2
OG0000192	OG0000192	9	10	2	9	8	2	10
OG0000193	OG0000193	6	7	8	7	5	8	9
OG0000194	OG0000194	1	1	0	0	4	0	44
OG0000195	OG0000195	17	3	6	7	5	6	6
OG0000196	OG0000196	0	32	0	5	8	5	0
OG0000197	OG0000197	7	7	10	6	4	7	9
OG0000198	OG0000198	1	4	0	13	3	1	28
OG0000199	OG0000199	2	2	42	0	3	1	0
OG0000200	OG0000200	5	13	7	17	1	4	3
OG0000201	OG0000201	6	5	10	12	0	5	12
OG0000202	OG0000202	3	2	33	9	2	0	0
OG0000203	OG0000203	4	30	1	11	3	0	0
OG0000204	OG0000204	7	24	1	11	1	2	3
OG0000205	OG0000205	8	26	2	3	6	2	2
OG0000206	OG0000206	0	0	1	45	3	0	0
OG0000207	OG0000207	2	18	8	1	6	13	1
OG0000208	OG0000208	1	25	3	2	11	4	2
OG0000209	OG0000209	2	5	9	19	6	3	4
OG0000210	OG0000210	3	8	10	6	9	11	1
OG0000211	OG0000211	1	4	4	2	24	6	7
OG0000212	OG0000212	0	12	1	0	2	1	32
OG0000213	OG0000213	7	7	10	7	6	6	5
OG0000214	OG0000214	5	21	1	13	6	1	1
OG0000215	OG0000215	5	4	15	5	3	8	8
OG0000216	OG0000216	14	15	3	9	0	3	4
OG0000217	OG0000217	8	6	8	7	6	8	4
OG0000218	OG0000218	12	7	5	7	8	3	5
OG0000219	OG0000219	0	2	0	20	4	0	21
OG0000220	OG0000220	0	0	40	5	2	0	0
OG0000221	OG0000221	7	0	6	18	4	8	4
OG0000222	OG0000222	12	23	1	7	1	1	2
OG0000223	OG0000223	0	7	0	40	0	0	0
OG0000224	OG0000224	0	0	0	0	16	0	30
OG0000225	OG0000225	13	6	0	12	2	1	12
OG0000226	OG0000226	4	14	6	0	12	0	10
OG0000227	OG0000227	4	10	9	10	3	9	1
OG0000228	OG0000228	2	0	9	3	18	4	10
OG0000229	OG0000229	0	1	0	18	25	0	2
OG0000230	OG0000230	0	18	0	6	13	0	9
OG0000231	OG0000231	2	22	4	1	5	12	0
OG0000232	OG0000232	5	13	8	6	1	8	5
OG0000233	OG0000233	21	11	1	7	4	1	1
OG0000234	OG0000234	24	9	8	1	1	3	0
OG0000235	OG0000235	7	18	1	7	10	1	2
OG0000236	OG0000236	0	1	0	44	1	0	0
OG0000237	OG0000237	11	4	4	12	3	5	7
OG0000238	OG0000238	1	2	12	1	0	5	25
OG0000239	OG0000239	2	10	0	8	25	0	0
OG0000240	OG0000240	2	4	14	5	9	5	6
OG0000241	OG0000241	0	17	0	1	6	0	21
OG0000242	OG0000242	6	6	10	5	5	6	7
OG0000243	OG0000243	6	2	8	5	6	7	11
OG0000244	OG0000244	6	4	7	10	1	12	5
OG0000245	OG0000245	4	9	2	11	15	2	2
OG0000246	OG0000246	3	6	9	16	2	5	4
OG0000247	OG0000247	4	9	5	17	1	6	3
OG0000248	OG0000248	0	2	14	2	3	0	23
OG0000249	OG0000249	2	7	0	2	33	0	0
OG0000250	OG0000250	6	6	6	5	7	7	7
OG0000251	OG0000251	7	5	3	16	3	4	6
OG0000252	OG0000252	4	24	2	9	3	1	1
OG0000253	OG0000253	7	2	6	5	5	6	13
OG0000254	OG0000254	8	6	6	10	1	8	5
OG0000255	OG0000255	3	11	9	10	3	6	2
OG0000256	OG0000256	7	6	7	4	9	5	6
OG0000257	OG0000257	5	24	0	8	6	1	0
OG0000258	OG0000258	7	1	9	9	2	4	12
OG0000259	OG0000259	1	3	11	8	19	2	0
OG0000260	OG0000260	2	7	13	3	2	15	2
OG0000261	OG0000261	5	7	9	5	4	8	6
OG0000262	OG0000262	8	4	7	6	10	8	1
OG0000263	OG0000263	4	0	1	4	1	0	34
OG0000264	OG0000264	1	2	0	3	0	0	38
OG0000265	OG0000265	0	3	1	4	34	0	1
OG0000266	OG0000266	0	28	0	9	6	0	0
OG0000267	OG0000267	3	7	11	0	7	10	5
OG0000268	OG0000268	7	6	5	6	6	6	7
OG0000269	OG0000269	7	10	6	7	4	5	4
OG0000270	OG0000270	7	3	13	7	2	5	5
OG0000271	OG0000271	6	5	9	8	3	6	5
OG0000272	OG0000272	6	7	8	5	2	8	6
OG0000273	OG0000273	16	3	4	6	9	4	0
OG0000274	OG0000274	9	4	4	14	0	5	6
OG0000275	OG0000275	1	10	0	6	22	2	0
OG0000276	OG0000276	1	15	9	4	5	6	1
OG0000277	OG0000277	2	2	7	3	15	8	4
OG0000278	OG0000278	2	0	12	7	3	10	7
OG0000279	OG0000279	2	1	0	18	3	1	16
OG0000280	OG0000280	9	7	4	14	0	3	4
OG0000281	OG0000281	5	4	2	20	5	1	3
OG0000282	OG0000282	4	15	1	7	7	1	5
OG0000283	OG0000283	3	0	2	19	9	2	5
OG0000284	OG0000284	3	15	5	4	5	6	2
OG0000285	OG0000285	5	5	6	4	5	9	6
OG0000286	OG0000286	5	6	6	5	9	5	4
OG0000287	OG0000287	2	2	26	2	2	0	6
OG0000288	OG0000288	2	10	13	1	3	9	2
OG0000289	OG0000289	2	9	7	1	10	1	10
OG0000290	OG0000290	2	9	6	4	1	15	3
OG0000291	OG0000291	5	5	5	7	5	4	9
OG0000292	OG0000292	10	2	3	3	0	0	22
OG0000293	OG0000293	0	1	14	0	0	0	25
OG0000294	OG0000294	1	5	0	3	0	0	31
OG0000295	OG0000295	1	2	19	3	0	14	1
OG0000296	OG0000296	3	29	0	8	0	0	0
OG0000297	OG0000297	0	1	17	1	6	8	6
OG0000298	OG0000298	6	3	2	7	20	0	1
OG0000299	OG0000299	2	0	0	4	32	0	1
OG0000300	OG0000300	14	7	2	13	2	1	0
OG0000301	OG0000301	0	9	0	1	17	7	5
OG0000302	OG0000302	6	8	5	6	2	5	7
OG0000303	OG0000303	2	6	13	6	2	6	4
OG0000304	OG0000304	0	1	0	21	3	0	14
OG0000305	OG0000305	7	2	10	6	4	6	4
OG0000306	OG0000306	2	2	5	3	10	8	9
OG0000307	OG0000307	1	2	0	0	4	0	32
OG0000308	OG0000308	6	6	1	22	1	1	2
OG0000309	OG0000309	9	6	6	7	1	3	7
OG0000310	OG0000310	7	3	6	8	4	8	3
OG0000311	OG0000311	8	9	7	8	3	4	0
OG0000312	OG0000312	9	5	8	9	5	1	2
OG0000313	OG0000313	7	3	14	6	3	3	3
OG0000314	OG0000314	5	8	6	14	1	4	1
OG0000315	OG0000315	1	1	0	36	1	0	0
OG0000316	OG0000316	0	0	19	0	0	19	1
OG0000317	OG0000317	5	11	7	8	0	7	1
OG0000318	OG0000318	5	5	0	11	16	0	1
OG0000319	OG0000319	11	5	2	12	1	1	6
OG0000320	OG0000320	0	0	0	32	6	0	0
OG0000321	OG0000321	4	4	8	5	6	5	6
OG0000322	OG0000322	5	3	11	4	2	8	5
OG0000323	OG0000323	0	22	0	5	11	0	0
OG0000324	OG0000324	4	5	10	3	1	11	4
OG0000325	OG0000325	6	10	8	9	0	3	2
OG0000326	OG0000326	1	2	6	1	24	3	0
OG0000327	OG0000327	1	21	0	13	2	0	0
OG0000328	OG0000328	0	12	1	2	16	0	6
OG0000329	OG0000329	3	6	1	4	20	1	2
OG0000330	OG0000330	4	1	12	3	6	5	6
OG0000331	OG0000331	5	3	6	5	4	7	7
OG0000332	OG0000332	4	5	5	7	5	4	7
OG0000333	OG0000333	4	14	0	9	3	0	7
OG0000334	OG0000334	1	5	1	21	9	0	0
OG0000335	OG0000335	1	3	5	2	5	8	13
OG0000336	OG0000336	0	21	0	5	2	0	9
OG0000337	OG0000337	0	1	13	2	3	15	3
OG0000338	OG0000338	2	5	12	4	5	9	0
OG0000339	OG0000339	1	6	7	15	3	3	2
OG0000340	OG0000340	2	1	11	11	3	8	1
OG0000341	OG0000341	0	0	1	17	3	3	13
OG0000342	OG0000342	4	8	4	9	0	5	7
OG0000343	OG0000343	0	0	19	0	0	15	3
OG0000344	OG0000344	8	7	2	10	0	7	3
OG0000345	OG0000345	0	0	32	0	0	5	0
OG0000346	OG0000346	6	4	1	8	7	2	8
OG0000347	OG0000347	5	4	5	6	5	5	6
OG0000348	OG0000348	7	3	4	6	5	5	6
OG0000349	OG0000349	3	11	4	4	6	4	4
OG0000350	OG0000350	5	5	6	8	4	4	4
OG0000351	OG0000351	16	3	2	1	7	4	3
OG0000352	OG0000352	5	8	1	12	5	4	1
OG0000353	OG0000353	5	5	6	5	2	7	6
OG0000354	OG0000354	19	13	0	2	2	0	0
OG0000355	OG0000355	5	4	8	5	1	7	6
OG0000356	OG0000356	6	7	2	9	5	1	6
OG0000357	OG0000357	3	3	3	7	6	5	9
OG0000358	OG0000358	8	2	5	8	3	5	5
OG0000359	OG0000359	3	2	9	7	3	5	7
OG0000360	OG0000360	4	5	7	8	3	8	1
OG0000361	OG0000361	5	10	5	5	2	5	4
OG0000362	OG0000362	3	2	4	3	2	1	21
OG0000363	OG0000363	5	10	3	1	1	3	13
OG0000364	OG0000364	6	4	4	5	4	8	5
OG0000365	OG0000365	0	1	0	34	1	0	0
OG0000366	OG0000366	4	3	6	5	0	7	11
OG0000367	OG0000367	8	1	2	21	0	1	3
OG0000368	OG0000368	4	4	7	4	4	6	6
OG0000369	OG0000369	2	8	1	2	7	0	15
OG0000370	OG0000370	2	1	10	1	2	11	8
OG0000371	OG0000371	4	5	6	4	5	5	6
OG0000372	OG0000372	5	2	4	14	2	3	5
OG0000373	OG0000373	4	4	9	5	3	4	6
OG0000374	OG0000374	3	1	9	1	6	10	5
OG0000375	OG0000375	1	9	2	4	4	9	6
OG0000376	OG0000376	3	3	6	3	3	6	11
OG0000377	OG0000377	2	3	7	4	1	10	8
OG0000378	OG0000378	11	4	2	9	2	1	6
OG0000379	OG0000379	7	7	5	7	0	4	5
OG0000380	OG0000380	4	17	0	10	0	0	4
OG0000381	OG0000381	0	3	2	7	12	5	5
OG0000382	OG0000382	8	5	6	6	3	3	3
OG0000383	OG0000383	6	7	4	6	4	4	3
OG0000384	OG0000384	0	6	13	0	3	12	0
OG0000385	OG0000385	2	8	4	7	8	3	2
OG0000386	OG0000386	4	2	0	1	14	2	11
OG0000387	OG0000387	8	4	2	9	4	2	5
OG0000388	OG0000388	5	1	10	2	2	11	3
OG0000389	OG0000389	3	2	6	7	5	7	4
OG0000390	OG0000390	3	3	14	2	1	7	4
OG0000391	OG0000391	3	21	0	3	0	2	5
OG0000392	OG0000392	9	2	5	5	0	4	9
OG0000393	OG0000393	4	5	4	4	5	6	5
OG0000394	OG0000394	7	3	4	4	4	4	7
OG0000395	OG0000395	4	5	7	3	7	5	2
OG0000396	OG0000396	5	5	5	4	5	5	4
OG0000397	OG0000397	10	4	6	6	3	3	1
OG0000398	OG0000398	6	9	1	6	9	1	1
OG0000399	OG0000399	6	3	7	3	2	8	4
OG0000400	OG0000400	3	6	6	5	5	4	4
OG0000401	OG0000401	3	15	0	4	3	0	8
OG0000402	OG0000402	5	4	6	4	4	5	5
OG0000403	OG0000403	10	6	2	3	8	2	2
OG0000404	OG0000404	6	5	4	7	7	2	2
OG0000405	OG0000405	3	8	4	9	2	4	3
OG0000406	OG0000406	3	10	5	5	2	4	4
OG0000407	OG0000407	7	0	5	11	2	2	6
OG0000408	OG0000408	0	1	0	1	1	0	30
OG0000409	OG0000409	5	6	4	6	3	3	6
OG0000410	OG0000410	4	3	8	6	4	6	2
OG0000411	OG0000411	0	0	0	8	0	1	24
OG0000412	OG0000412	3	0	0	18	0	0	12
OG0000413	OG0000413	4	1	8	6	9	3	1
OG0000414	OG0000414	0	3	1	0	9	0	19
OG0000415	OG0000415	12	8	2	2	4	1	3
OG0000416	OG0000416	4	4	6	4	4	5	5
OG0000417	OG0000417	4	4	5	5	5	5	4
OG0000418	OG0000418	3	4	9	3	3	7	3
OG0000419	OG0000419	0	0	13	0	3	16	0
OG0000420	OG0000420	25	0	1	4	1	1	0
OG0000421	OG0000421	3	1	14	1	2	9	2
OG0000422	OG0000422	1	16	0	1	3	0	11
OG0000423	OG0000423	2	11	0	3	5	0	11
OG0000424	OG0000424	5	9	6	4	2	3	3
OG0000425	OG0000425	3	2	9	7	3	6	2
OG0000426	OG0000426	2	9	6	5	1	6	3
OG0000427	OG0000427	1	8	13	2	1	6	1
OG0000428	OG0000428	6	1	7	5	1	10	2
OG0000429	OG0000429	1	6	9	1	0	8	7
OG0000430	OG0000430	0	0	21	0	0	11	0
OG0000431	OG0000431	20	5	2	1	0	4	0
OG0000432	OG0000432	16	6	4	4	0	2	0
OG0000433	OG0000433	0	1	0	10	1	0	19
OG0000434	OG0000434	5	2	6	4	2	6	6
OG0000435	OG0000435	1	1	0	2	27	0	0
OG0000436	OG0000436	6	1	7	4	2	10	1
OG0000437	OG0000437	5	5	2	11	3	3	2
OG0000438	OG0000438	0	3	8	1	6	11	2
OG0000439	OG0000439	4	4	4	3	4	6	6
OG0000440	OG0000440	8	6	4	3	3	4	3
OG0000441	OG0000441	7	4	5	5	3	3	4
OG0000442	OG0000442	0	4	18	0	4	0	5
OG0000443	OG0000443	6	10	0	8	6	1	0
OG0000444	OG0000444	4	4	4	6	3	4	6
OG0000445	OG0000445	4	5	3	8	1	2	8
OG0000446	OG0000446	7	6	1	8	7	1	1
OG0000447	OG0000447	8	15	0	3	5	0	0
OG0000448	OG0000448	2	2	8	3	1	10	5
OG0000449	OG0000449	4	5	8	4	3	3	4
OG0000450	OG0000450	2	2	7	5	3	9	3
OG0000451	OG0000451	3	4	6	6	1	6	5
OG0000452	OG0000452	20	5	1	2	1	1	1
OG0000453	OG0000453	0	4	0	0	1	0	26
OG0000454	OG0000454	11	6	2	5	0	5	2
OG0000455	OG0000455	0	28	0	2	0	1	0
OG0000456	OG0000456	5	3	3	8	2	5	4
OG0000457	OG0000457	1	12	0	1	6	0	10
OG0000458	OG0000458	6	4	5	4	4	4	3
OG0000459	OG0000459	2	1	3	10	12	2	0
OG0000460	OG0000460	5	4	5	4	2	5	5
OG0000461	OG0000461	0	0	1	0	14	3	12
OG0000462	OG0000462	3	3	5	5	3	10	1
OG0000463	OG0000463	0	1	0	1	24	0	4
OG0000464	OG0000464	5	7	3	7	4	4	0
OG0000465	OG0000465	16	1	2	6	1	2	2
OG0000466	OG0000466	4	3	2	3	3	11	4
OG0000467	OG0000467	3	3	5	5	3	6	5
OG0000468	OG0000468	4	5	7	4	1	4	5
OG0000469	OG0000469	0	3	0	0	5	0	22
OG0000470	OG0000470	2	5	3	5	4	6	5
OG0000471	OG0000471	6	7	2	5	3	3	4
OG0000472	OG0000472	3	6	4	8	3	3	3
OG0000473	OG0000473	10	3	6	4	2	2	3
OG0000474	OG0000474	5	4	8	3	4	5	1
OG0000475	OG0000475	6	6	2	2	6	3	5
OG0000476	OG0000476	2	8	4	0	4	5	7
OG0000477	OG0000477	1	9	1	5	2	0	12
OG0000478	OG0000478	4	13	0	4	5	0	4
OG0000479	OG0000479	5	3	4	5	5	3	5
OG0000480	OG0000480	5	4	0	17	4	0	0
OG0000481	OG0000481	1	2	11	7	1	5	3
OG0000482	OG0000482	6	1	2	19	1	1	0
OG0000483	OG0000483	7	1	8	5	2	4	3
OG0000484	OG0000484	0	1	15	1	3	10	0
OG0000485	OG0000485	3	3	7	6	2	5	4
OG0000486	OG0000486	2	7	6	8	1	4	2
OG0000487	OG0000487	4	3	8	4	2	3	6
OG0000488	OG0000488	7	8	1	7	3	1	3
OG0000489	OG0000489	4	8	5	5	1	4	3
OG0000490	OG0000490	7	3	9	0	0	10	1
OG0000491	OG0000491	7	4	6	5	0	4	4
OG0000492	OG0000492	0	0	16	0	0	14	0
OG0000493	OG0000493	1	1	0	28	0	0	0
OG0000494	OG0000494	4	4	2	13	3	1	2
OG0000495	OG0000495	2	3	10	2	4	7	1
OG0000496	OG0000496	7	1	4	6	1	3	7
OG0000497	OG0000497	2	1	0	3	23	0	0
OG0000498	OG0000498	2	10	3	2	6	4	2
OG0000499	OG0000499	6	3	3	5	5	2	5
OG0000500	OG0000500	0	1	0	1	1	0	26
OG0000501	OG0000501	2	3	0	0	17	7	0
OG0000502	OG0000502	3	7	7	3	4	3	2
OG0000503	OG0000503	4	3	4	5	8	2	3
OG0000504	OG0000504	2	4	0	3	7	6	7
OG0000505	OG0000505	12	7	1	1	8	0	0
OG0000506	OG0000506	5	4	4	4	3	4	5
OG0000507	OG0000507	5	5	2	3	1	3	10
OG0000508	OG0000508	3	3	7	3	2	8	3
OG0000509	OG0000509	0	1	11	1	3	10	3
OG0000510	OG0000510	4	5	5	4	5	1	5
OG0000511	OG0000511	1	13	4	5	2	3	1
OG0000512	OG0000512	4	4	5	4	4	4	4
OG0000513	OG0000513	0	0	0	27	2	0	0
OG0000514	OG0000514	5	5	4	2	5	4	4
OG0000515	OG0000515	7	9	0	2	3	0	8
OG0000516	OG0000516	4	5	5	4	2	4	5
OG0000517	OG0000517	6	0	2	3	6	1	11
OG0000518	OG0000518	4	4	6	4	3	7	1
OG0000519	OG0000519	4	4	6	4	1	5	5
OG0000520	OG0000520	0	3	0	25	1	0	0
OG0000521	OG0000521	3	4	6	8	3	3	2
OG0000522	OG0000522	1	1	7	1	3	8	8
OG0000523	OG0000523	13	3	4	3	1	5	0
OG0000524	OG0000524	3	5	5	4	3	5	4
OG0000525	OG0000525	4	4	6	4	2	4	5
OG0000526	OG0000526	4	4	5	3	4	5	4
OG0000527	OG0000527	3	2	7	6	2	8	1
OG0000528	OG0000528	4	7	4	6	5	2	1
OG0000529	OG0000529	0	11	7	6	0	3	2
OG0000530	OG0000530	14	1	1	4	0	5	4
